Kalimat,Tingkat Pemahaman
Orbit Bulan mengelilingi Bumi berbentuk elips sehingga akan ada saatnya Bulan berada pada jarak terdekat dari Bumi (perigee) dan terjauh (apogee).,Sudah Mahir
Hal ini menjadikan piringan bulan tidak dapat menutupi piringan matahari sepenuhnya dan menyebabkan Matahari terlihat sebagai cincin saat mencapai fase maksimum gerhana.,Berkembang Sedang
"Gerhana matahari hibrida merupakan jenis gerhana yang jarang terjadi, sekitar satu gerhana per dekade.",Sudah Mahir
Hal ini karena jarak Bulan dan Matahari terhadap Bumi haruslah sesuai.,Berkembang Sedang
"Karena rentang jarak yang diperlukan agar terjadi gerhana matahari hibrida sangatlah sempit, sebagian besar konfigurasi gerhana tidak cocok untuk jenis gerhana ini.",Sudah Mahir
Refleksi menjadi tahapan pertama proses terbentuknya pelangi.,Berkembang Sedang
Dalam proses ini butiran air yang berada di udara memantulkan cahaya ketika terkena sinar matahari.,Sudah Mahir
Jadi air-air yang ada di udara itu mirip seperti sebuah cermin.,Berkembang Sedang
Hal itu sebenarnya menjawab mengapa terjadinya pelangi setelah turunnya hujan atau terjadi di wilayah air terjun.,Sudah Mahir
"Ya, karena setelah hujan atau di wilayah air terjun ada sisa-sisa air yang berada di udara.",Sudah Mahir
"Nah, butiran dari air itu kemudian memantulkan cahaya, atau yang disebut dengan refleksi.",Sudah Mahir
Setelah refleksi terjadi lah fenomena dispersi cahaya dimana cahaya matahari yang terlihat berwarna putih mengalami penguraian.,Sudah Mahir
"Kemudian ketika cahaya dipantulkan oleh butiran air, cahaya akan terurai sehingga membentuk warna yang muncul di pelangi.",Sudah Mahir
Refraksi ini menjadi tahap terakhir proses terbentuknya cahaya.,Berkembang Sedang
Proses ini terjadi ketika cahaya dari matahari mampu menembus butiran atau tetesan air dan kemudian memantul ke arah yang berbeda.,Sudah Mahir
"Kemudian, setiap warna akan terpantul ke arah-arah yang berbeda tergantung pada gelombang cahaya.",Sudah Mahir
Proses inilah yang menjelaskan mengapa pelangi bisa berbentuk seperti kipas atau busur.,Sudah Mahir
"Warna pelangi umumnya dikenal dengan warna merah, jingga, kuning, hijau, biru, nila, dan ungu.",Berkembang Sedang
"Warna merah ini merupakan warna yang paling panjang di antara warna yang lain, yaitu sepanjang 650 nanometer.",Sudah Mahir
"Kemudian warna ungu juga sesuai urutan berada di paling bawah dan memiliki panjang gelombang paling pendek, yaitu sekitar 400 nanometer.",Berkembang Sedang
Variasi warna itu muncul karena adanya pembiasan dari cahaya putih yang dihasilkan matahari.,Sudah Mahir
"Ketika cahaya yang mengandung berbagai spektrum warna  itu memasuki butiran air, warna-warna itu muncul.",Sudah Mahir
"Tepi dari butiran air bekerja sebagai sebuah prisma, sedangkan cahaya kemudian dipecah menjadi panjang gelombang yang seperti spektrum cahaya.",Sudah Mahir
Cahaya itu lantas dipantulkan dari sisi butiran air yang berbeda kemudian mengambil sudut yang berbeda itu dipantulkan.,Sudah Mahir
Peristiwa itu akhirnya mengakibatkan panjang dari gelombang yang berbeda-beda.,Berkembang Sedang
Kemudian mata manusia menangkap perbedaan panjang gelombang itu sebagai perbedaan warna pelangi.,Berkembang Sedang
Pelangi ganda ini terjadi ketika cahaya dipantulkan dua kali oleh tetesan hujan sehingga memunculkan pelangi primer dan pelangi sekunder secara samar.,Sudah Mahir
Peristiwa itu lantas membuat dua pelangi berbeda dihasilkan pada satu titik akhir.,Belum Berkembang
Sinar pantul kemudian berinteraksi dengan cara interferensi konstruktif dan interferensi destruktif.,Berkembang Sedang
Artinya interferensi konstruktif ini membuat warnanya yang lebih terang.,Berkembang Sedang
Pelangi ini muncul karena adanya kristal es yang berada di atmosfer.,Berkembang Sedang
Pelangi ini muncul ketika kabut atau percikan air dari air terjun berada di udara secara konsisten dan kemudian memantulkan cahaya matahari.,Sudah Mahir
"Menurut kepercayaan masyarakat Irlandia zaman dahulu, di dalam ujung pelangi akan ada pot emas yang sedang dijaga oleh peri jantan yang licik.",Sudah Mahir
Mitos itu menyatakan bahwa seseorang yang berada di Irlandia menjarah harta dan kemudian menguburnya di seluruh wilayah pedesaan.,Sudah Mahir
"Namun, kuburan barang hasil jarahan itu ditemukan dan kemudian dimasukkan ke dalam pot di bawah tanah.",Berkembang Sedang
Hal itu memang hanya bisa terlihat lingkaran sempurna melalui pesawat atau melalui puncak dari gunung.,Berkembang Sedang
Setiap pandangan orang di posisi yang berbeda atau sama dapat melihat pelangi dalam kondisi yang berbeda pula.,Sudah Mahir
Hal itu terjadi karena perbedaan kondisi mata seseorang.,Berkembang Sedang
"Itulah mengapa seringkali terjadi ada orang yang bisa melihat pelangi, ada pula yang tidak.",Sudah Mahir
Banyak yang menganggap bahwa pelangi hanya muncul setelah hujan mereda.,Berkembang Sedang
"Namun, memang diakui bahwa waktu terbaik melihat pelangi adalah seusai turunnya hujan.",Sudah Mahir
Pelangi pada malam hari itu disebut dengan pelangi yang dihasilkan oleh bulan.,Sudah Mahir
"Artinya, cahaya yang dipantulkan oleh tetesan air adalah cahaya pantulan bulan.",Berkembang Sedang
Umumnya pelangi malam hari ini muncul ketika bulan purnama.,Berkembang Sedang
Namun memang cahaya yang dimunculkan sedikit redup bergantung pada cahaya yang dipantulkan oleh bulan.,Sudah Mahir
"Aku bingung, ku harus bagaimana bertahan",Belum Berkembang
"Tapi aku yang terluka, ingin aku lari darimu sadar aku lemah tanpamu",Sudah Mahir
Hampir habis sudah kesabaran ini selama ini ku terlalu tahan sendiri,Berkembang Sedang
Kepada yang kuhormati di sana aku sampaikan salam ini untuk mewakilkan rasa terima kasih,Sudah Mahir
Mentari pagi menyambut hariku berlagu dengan gairah nadamu,Berkembang Sedang
"Di mana aku, di sini rindu akan dawaimu",Berkembang Sedang
"Semesta riang tersenyum, merekah dengan lagumu bagai semangat di jiwa",Berkembang Sedang
Hatiku ini rindu namun tak perlu mengharap,Berkembang Sedang
"Mari bernyanyi bersama dalam sedih, senang, riang dalam alunan pesona jiwa dan berpesta",Berkembang Sedang
Mesin waktu menembus masa lalu an aku pun akan terkenang,Berkembang Sedang
"Dalam nyanyian bahagia yang kau cipta semesta memberi damba terima kasih padamu, oh, pujangga",Sudah Mahir
Jikalau ada gundah dalam hati terbesit dalam air dan api nadamu akan selalu menjadi warna hidupku,Berkembang Sedang
Luruh seluruh harapku dan semua janjimu ketika jalanku dan jalanmu tak bertemu,Sudah Mahir
Ketika inginku dan inginmu tak menyatu di dalam pusaranmu adakah ruang untuk kau dan aku mengarung,Sudah Mahir
"Sambutlah kemarau tiba berguguran, tapi dikenang selamanya",Berkembang Sedang
Cacian kini merajalela bisakah kita mengubah takdir kelabu,Berkembang Sedang
Setiap malam ku selalu bertanya di manakah dia berada perasaan ini mustahil ada aku memiliki dirinya,Belum Berkembang
Sejauh ku melewati beribu lautan dirinya yang menetap di setiap lamunan ku,Sudah Mahir
Ku inginkan dia menerangi setiap malam ku,Berkembang Sedang
Banyak yang kuinginkan tapi terbatasi oleh janji tak memberi jalan untuk aku menumpu,Sudah Mahir
Aku kira sendiri memberikan arti tapi terlalu lama malah sakit hati,Berkembang Sedang
Lelah nafas ini ingin sejenak semua terhenti biarkan aku tertidur lepaskan lara,Belum Berkembang
"Untuk hati yang terluka tenanglah, kau tak sendiri",Berkembang Sedang
"Untuk jiwa yang teriris tenang, ku kan temani",Berkembang Sedang
Hidup itu sandiwara yang nyata ternyata delusi terlarut posesi berujung kau gila sendiri,Sudah Mahir
Jika kau tak dapatkan yang kau impikan bukan berarti kau telah usai,Sudah Mahir
Biarkan kegelapanmu menemukan titik terang baru pasukanmu kan kembali memelukmu yang baru,Sudah Mahir
Hari-harimu berarti jangan pikirkan yang kemarin biarlah dia hangus terbakar sirna ambisi,Sudah Mahir
"Dengarlah, wahai kawan-kawanku kini warna yang kelam hangus aku tahu kamu akan bertamu selamat datang padaku yang baru",Sudah Mahir
Di kala dia berteman aku sibuk membisu dan berfikir tentang masa depan,Berkembang Sedang
Hidup hanya sekali saja mungkin lagi tapi wujud berbeda maka jangan hiraukan kesempatan tutup telinga dari kata menyakitkan,Belum Berkembang
Bukalah matamu indahnya langit biru yang lalu biar berlalu peganglah ketubah mimpimu yang baru,Sudah Mahir
"Dikala dia menghasut telan jadi ramuan, lambat laun dia runtuh semakin aku jadi panutan",Belum Berkembang
"Renungkanlah mengapa kamu begitu membenci, jangan rusak mimpi-mimpimu karena sikap duniawimu",Berkembang Sedang
"Awal mula kita bersapa aku yakin kau jawabnya, terasa dekat walau kali pertama bertatap mata",Belum Berkembang
Lika-liku telah kita lewati bersama hingga hari tiba sampai perjanjian sakral tiba kita ucap lantang pada dunia,Belum Berkembang
"Kaulah jawabnya yang ditanya-tanya, datang dari mana pendekar cahaya",Berkembang Sedang
"Semuanya bepergian berlalu lalang tak karuan, sebentar perlahan sebentar tak kunjung percaya waktu telah berubah",Belum Berkembang
Tawa yang telah pudar dan tua digantikan dengan takut dan gundah,Berkembang Sedang
Bergegas terlalu cepat pelan dalam menghapus nama dan dalam semua tentang melupakan,Berkembang Sedang
"Jumpa aku di sana entah di mana yang aku maksud, kereta ini tak gentar terus melaju",Sudah Mahir
"kalau saat hancur aku disayang, apalagi saat ku jadi juara dan saat tak tahu arah, kau di sana menjadi gagah saat ku tak bisa",Sudah Mahir
Sedikit kujelaskan tentangku dan kamu agar seisi dunia tahu,Berkembang Sedang
"Keras kepalaku sama denganmu caraku marah, caraku tersenyum seperti detak jantung yang bertaut nyawaku menyala karena denganmu",Sudah Mahir
aku masih tak mengerti banyak hal,Belum Berkembang
"Semuanya berenang di kepala dan kau, dan semua yang kautahu tentangnya menjadi jawab saat ku bertanya",Sudah Mahir
Semoga lama hidupmu di sini melihatku berjuang sampai akhir,Berkembang Sedang
Langit dan laut saling membantu menciptakan awan dan hujan pun turun,Berkembang Sedang
Ketika dunia saling membantu melihat cinta mana yang tak jadi satu,Berkembang Sedang
"Kau dan aku saling membantu membasuh hati yang pernah pilu, mungkin akhirnya tak jadi satu namun bersorai pernah bertemu",Sudah Mahir
Jika malam datang dan takut menyerang kau genggam apa yang kuragukan,Berkembang Sedang
"Bukan apa, hanya bersiap, tak ada yang tahu, aku takut tak pernah ada yang lama menungguku sejak dulu",Sudah Mahir
"Memang tidak mudah mencintai diri ini namun, aku berjanji akan mereda seperti semestinya",Belum Berkembang
Yang terjadi sebelumnya semua orang takut padaku,Berkembang Sedang
Penuh ganggu di dalam jiwanya sambil penuh cinta diam-diam berusaha,Berkembang Sedang
"Yang lemah semakin di bawah, yang kuat jadi serakah",Berkembang Sedang
"Tindas menindas hingga tandus, berasap kecil berakhir hangus",Berkembang Sedang
"Kau bawa sedikit keberanian, terpaksa namun tetap bukan pilihan",Berkembang Sedang
"Bilamana dia datang sedetik pun kembali pulang, biarkan berterus terang hingga tenang",Belum Berkembang
Terhilang dan sirna dihempas sang surya kini yang tersisa luapan samudra membiru,Sudah Mahir
"Kau yang ke sana-kemari, kau anggap aku tak cukup semua kesempatan dan langkahku coba kau tutup",Sudah Mahir
"Tutur batinku tak akan salah silakan pergi, ku tak rasa kalah",Berkembang Sedang
"Namun, percayalah, sejauh mana kau mencari takkan kau temukan yang sebaik ini",Sudah Mahir
"Dialog dini hari kepada diriku sendiri, tak bisa ku tertidur lagi melayang pikirku tak pasti",Belum Berkembang
"Resah gelisah mengiringi berharap ada yang mengerti, berharap kau ada di sini",Sudah Mahir
Duduk bersama tak melakukan apa pun berkeluh-kesah tentang perjuangan dan masa sulit,Berkembang Sedang
"Tak berjanji tapi selalu ada dalam masa kelam, erima kasih teman untukmu kunyanyikan sebuah lagu",Belum Berkembang
Taburan bintang melukis semua kisahku yang kau tampung,Berkembang Sedang
Tepukan di pundak meredam asa yang hampir menghilang,Berkembang Sedang
"Jika wanginmu saja bisa memindahkan duniaku, maka cintamu pasti bisa mengubah jalan hidupku",Sudah Mahir
"Cukup sekali saja aku pernah merasa betapa menyiksa kehilanganmu, kau tak terganti kau yang slalu kunanti takkan kulepas lagi",Sudah Mahir
satu jadikan tujuan kita,Belum Berkembang
Hilangkan segala perdebatan yang sia-sia berlari ke arah yang sama bukan masalah,Sudah Mahir
Semua punya ruang lukis yang kau mau karena ceritamu milikmu,Berkembang Sedang
"Tak pernah terbayang akan jadi seperti ini pada akhirnya, semua waktu yang pernah kita lewati bersama nyata hilang dan sirna",Sudah Mahir
Seribu satu cara kita lewati untuk dapatkan semua jawaban ini,Berkembang Sedang
"Bila memang harus berpisah aku akan tetap setia, bila memang ini ujungnya kau akan tetap ada di dalam jiwa",Belum Berkembang
Dalam hitam gelap malam aku berdiri melawan sepi,Berkembang Sedang
"Di sini, di pantai ini telah terkubur sejuta kenangan yang dihempas keras gelombang dan tertimbun batu karang yang tidak akan mungkin dapat terulang",Sudah Mahir
"Matamu membuka kisah kasih asmara yang telah ternoda, hapuskan semua khayalan lenyapkan satu harapan ke mana lagi harus mencari",Sudah Mahir
Kausandarkan sejenak beban diri kautaburkan benih kasih hanyalah emosi,Berkembang Sedang
"Melambung jauh, terbang tinggi bersama mimpi terlelap dalam lautan emosi",Berkembang Sedang
Setelah aku sadar diri kau telah jauh pergi meninggalkan mimpi yang tiada bertepi,Sudah Mahir
"Kini hanya rasa rindu merasuk di dada, serasa sukma melayang pergi terbawa arus kasih membara",Belum Berkembang
Kau satu terkasih kulihat di sinar matamu tersimpan kekayaan batin,Berkembang Sedang
Di dalam senyummu aku dengar bahasa kalbu mengalun bening menggetarkan,Berkembang Sedang
Kini dirimu yang selalu bertahta di benakku dan aku kan mengiringi bersama di setiap langkahmu,Sudah Mahir
"Percayalah hanya diriku paling mengerti kegelisahan jiwamu, kasih dan arti kata kecewamu",Berkembang Sedang
"Kasih, yakinlah hanya aku yang paling memahami besar arti kejujuran diri",Berkembang Sedang
"Walaupun dirimu tak bersayap aku akan percaya, kau mampu terbang bawa diriku tanpa takut dan ragu",Sudah Mahir
"Manakala hati menggeliat mengusik renungan, mengulang kenangan saat cinta menemui cinta",Berkembang Sedang
"Suara semalam dan siang seakan berlagu, dapat aku dengar rindumu memanggil namaku dan saat aku tak lagi di sisimu kutunggu kau di keabadian",Berkembang Sedang
"Aku tak pernah pergi selalu ada di hatimu, kau tak pernah jauh selalu ada di dalam hatiku",Belum Berkembang
Cinta kita melukiskan sejarah menggelarkan cerita penuh sukacita sehingga siapa pun insan Tuhan pasti tahu cinta kita sejati,Sudah Mahir
Lembah yang berwarna membentuk melekuk memeluk kita dua jiwa yang melebur jadi satu dalam kesucian cinta,Sudah Mahir
"Dulu kau pernah ucap janji yang kuyakin takkan pudar, namun ragu semesta tak terlawan oleh manusia",Sudah Mahir
Terus terang aku tidak kuasa melihatmu terperangkap dalam kisah tak bermakna,Berkembang Sedang
Haruskah aku memulai untuk melepaskan harapanku bersamamu biarlah menjauh mungkin kita akan bertemu lain waktu di alam yang baru,Sudah Mahir
Jiwa pun pernah risau bagaikan dunia diterjang ombak tetap kau yang utama ingin kugenggam kembali saja,Sudah Mahir
Kuingat lagi di kamar ini kita bermimpi akan menjadi angan tak pasti kicau berani seperti takdir kita yang tulis,Sudah Mahir
"Bahu dan bahu terbayang lesu masih tertawa, tak tahu apa akhir yang ada menanti kita sekali lagi kuingat lagi",Sudah Mahir
"Kau begitu sempurna, dimata ku kau begitu indah",Berkembang Sedang
kau membuat diri ku akan selalu memuja mu,Berkembang Sedang
Janganlah kau tinggalkan diri ku tidak akan mampu menghadapi semua hanya bersama kamu aku akan bisa,Belum Berkembang
"Jantungku berdebar dan aku pun tak sabar lihatlah Indonesia, semangatku berkobar",Berkembang Sedang
"Belasan tahun belajar, kritis mengasah nalar tajam bak duri mawar",Berkembang Sedang
"Bumi, air dan kekayaan alam yang terkandung di dalamnya dikuasai oleh negara dan dipergunakan untuk sebesar-besarnya kemakmuran rakyat",Sudah Mahir
"Maju tak gentar, membela yang benar suara dan keinginan rakyat akan terdengar",Sudah Mahir
"Mengubah Indonesia menjunjung tinggi Pancasila, mengubah Indonesia sampai jiwa kita merdeka",Berkembang Sedang
Selama ini ku diam semuanya terpendam inginku hidup tentram namun bayangan itu datang,Belum Berkembang
"Didesak, dirusak, sesak kala tidur dan lelahku, di waktu terjagaku kenangan itu kelabukan jiwaku",Berkembang Sedang
Aku tahu ini berat melawan banyak pihak tidak akan selesai cepat banyak yang akan menghambatkan tujuan,Sudah Mahir
"Siapa bilang ku hidup di atas angan-angan, tapi ku tetap sanggup menjalani tantangan",Belum Berkembang
"Kita hanya manusia jangan besar kepala, rakyat percaya kita jangan hancurkan bangsa kewajiban yang utama",Sudah Mahir
Negara kita sangat lucu demokrasi hanya waktu pemilu,Berkembang Sedang
"Alihkan, Pindahkan perhatian mereka dari masalah sesungguhnya",Berkembang Sedang
Terima kasih sosial media mengambil semua waktu manusia,Berkembang Sedang
Kemarin ketika ku tertidur kutemui bayangmu di mimpiku padahal kita belum pernah bertemu namun Tuhan mempertemukan kita,Sudah Mahir
"Aku janjikan padamu bahwa aku, akan datang ke kotamu untuk saling tatap muka dan bertukar cerita semoga semesta pun merestui",Sudah Mahir
Aku ingin berjalan bersamamu menyusuri senja dan memelukmu dan pegang erat kedua tanganmu sambil aku bisikan kata mari kita saling merenda kasih,Berkembang Sedang
Lembaran foto hitam-putih aku coba ingat lagi warna bajumu kala itu kali pertama di hidupku manusia lain memelukku,Belum Berkembang
Di mana pun kalian berada,Belum Berkembang
"Aku kirimkan terima kasih untuk warna dalam hidupku dan banyak kenangan indah, kau melukis aku",Sudah Mahir
Kita tak pernah tahu berapa lama kita diberi waktuu,Berkembang Sedang
"Jika aku pergi lebih dulu, jangan lupakan aku dan ini lagu untuk kamu, ungkapan rasa terima kasih dari aku",Sudah Mahir
"Perjalanan membawamu bertemu denganku, sepertimu yang kucari konon aku juga seperti yang kau cari",Sudah Mahir
"Kukira kita asam dan garam dan kita bertemu di belanga, kisah yang ternyata tak seindah itu",Sudah Mahir
"Kukira kita akan bersama, begitu banyak yang sama latarmu dan latarku",Berkembang Sedang
Kasih sayangmu membekas redam kini sudah pijar istimewa,Berkembang Sedang
Entah apa maksud dunia tentang ujung cerita kita tak bersama,Berkembang Sedang
"Semoga rindu ini menghilang konon katanya waktu sembuhkan, akan adakah lagi yang sepertimu",Sudah Mahir
"Ini semua bukan salahmu punya magis perekat yang sekuat itu, dari lahir sudah begitu maafkan aku jatuh suka",Sudah Mahir
Bila kau berkenan biarkanku di sampingmu berkuranglah satu jiwa yang sepi,Berkembang Sedang
Saat kau lemah dan tak berdaya lihat diriku untukmu,Berkembang Sedang
Kapanpun mimpi terasa jauh ingatlah sesuatu aku akan selalu jadi sayap pelindungmu,Belum Berkembang
"Sampaikah kepadamu kata-kata yang aku rangkaikan agar kau tahu perasaanku yang telah lama terpendam, inilah yang aku rasakan",Sudah Mahir
Sebut yang kau inginkan apapun itu akan aku berikan untukmu andai kau bersamaku,Sudah Mahir
Setelah begitu lama tersisa air mata banyaknya kenangan yang tak akan terlupakan,Sudah Mahir
"Tegar aku kan mencoba melewatinya melepaskan semua yang sudah berlalu tapi tanpa dirimu tak mungkin, aku terus berlari tanpa kaki",Sudah Mahir
Erat aku kan bertahan janjiku tetap ada untukmu sampai selamanya,Berkembang Sedang
"Hidupku tanpa cintamu bagai malam tanpa bintang, cintaku tanpa sambutmu bagai panas tanpa hujan",Belum Berkembang
"Aku bisa membuatmu jatuh cinta kepadaku meski kau tak cinta kepadaku, beri sedikit waktu biar cinta datang karena telah terbiasa",Sudah Mahir
"Simpan mawar yang kuberi mungkin wanginya mengilhami, sudikah dirimu untuk kenali aku dulu",Sudah Mahir
Tatap matamu bagai busur panah yang kau lepaskan ke jantung hatiku,Berkembang Sedang
"Cintaku tak harus, miliki dirimu meski perih mengiris segala janji",Berkembang Sedang
"Andai aku bisa menjadi seperti yang kau minta, aku jadi juwita kala cinta menggoda",Sudah Mahir
Tidak peduli jika surga dan neraka tak pernah ada yang penting kau ada meski tanpa panah asmara,Sudah Mahir
Cintaku bertepuk harap yang tak ada rintihan nada asmara,Berkembang Sedang
Aku ingin cinta tebar semerbak percik pesona wahai angin malam bantu aku merepih alam,Belum Berkembang
"Kau kehidupanku, meski kau tidak tahu ada aku di hidupmu, yang kumau kau untuk aku meskipun kau tak rindu",Sudah Mahir
"Di malam minggu au pergi ke pesta, pesta meriah ulang tahun kawan ku",Belum Berkembang
"Di tengah pesta kulihat si dia lincah gayanya dandanan masa kini, ingin hatiku mencium pipinya tapi malu rasanya",Belum Berkembang
Tiada siapa pun tuk berbincang sendiri terasa jarak terbentang,Berkembang Sedang
Kini kutemukan alasan pulang saat bait tulisan nyata jadi pelukan,Berkembang Sedang
"Senyum di layar yang kutatap kini akan kusapa dalam hitungan hari, langkah kaki yang sempat terhenti dengan doa aku berlari",Sudah Mahir
Di perjalanan wajahmu kian terbayang meniti kenangan dan kerinduan yang terpendam,Berkembang Sedang
"Mengisi ruang rindu pertemuan alun detak jantungku, urai semua derai air mata jatuh lembut di jemarimu",Belum Berkembang
"Malam yang tunduk di keheningan menghapus kesalahan dan memaafkan, kita relakan semua yang fana suci teduhkan hati",Sudah Mahir
"Telah kusadar hidup bukanlah perihal mengambil yang kau tebar, sedikit air yang kupunya milikmu juga bersama",Sudah Mahir
Bisakah kita tetap memberi walau tak suci dan tak membiru,Berkembang Sedang
"Cukup besar untuk mengampuni dan mengasihi tanpa memperhitungkan masa yang lalu, walau kering bisakah kita tetap membasuh",Sudah Mahir
Kita bergerak dan bersuara berjalan jauh tumbuh bersama sempatkan pulang ke beranda untuk mencatat hidup dan harganya,Sudah Mahir
"Mengering sumurku terisi kembali, kutemukan makna hidupku disini",Berkembang Sedang
"Yang mengevaluasi ragamu hanya kau sendiri, mereka tak mampu",Berkembang Sedang
"Masalah yang mengeruh, perasaan yang rapuh, ini belum separuhnya biasa saja kamu tak apa",Sudah Mahir
Tidur sejenak menemui esok pagi walau pedih aku bersamamu kali ini dan aku masih ingin melihatmu esok hari,Berkembang Sedang
Terkadang rasanya leher terbakar hingga pagi seperti aku hidup berpasangan dengan api,Belum Berkembang
Semoga hidup kita terus begini-gini saja walau sungai meluap dan kurs tak masuk logika,Berkembang Sedang
Semoga kita mencintai apa adanya walau katanya skarang aku bisa masuk penjara,Belum Berkembang
Satu per satu hari per hari yang menyakiti benahi lagi perihal esok tuk nanti dulu perihal cincin kucari waktu,Sudah Mahir
"Masih jelas teringat pelukanmu yang hangat seakan semua tak mungkin menghilang, kini hanya kenangan yang telah kau tinggalkan tak tersisa lagi waktu bersama",Sudah Mahir
"Di dunia tipu-tipu kamu tempat aku bertumpu, baik, jahat, abu-abu tapi warna mu putih untukku",Belum Berkembang
Hanya kamu yang mengerti gelombang kepala ini,Berkembang Sedang
"Puja-puji tanpa kata mata kita yang bicara, selalu nyaman bersama janji takkan ke mana-mana",Sudah Mahir
"Lelucon aneh tiap hari, aku tertawa tanpa tapi tetaplah seperti ini",Berkembang Sedang
"Ambisiku bergejolak, antusias tak karuan banyak mimpi-mimpi yang akan aku kejar",Berkembang Sedang
"Tumbuh dari kebaikan, bangkit dari kesalahan berusaha pendamkan kenyataan bahwa takut tambah dewasa",Sudah Mahir
"Mata pernah melihat, telinga pernah mendengar, badan pernah merasa terekam jelas seakan terjadi baru saja",Belum Berkembang
"Siapakah yang salah siapa yang tanggung jawab, waktu terus berjalan terasa salah karena ada yang belum selesai",Sudah Mahir
"Aku sudah tak marah walau masih teringat, semua yang terjadi kemarin jadikan aku yang hari ini",Sudah Mahir
"Aku sudah tak benci walau nyatanya merugi, terdengar tidaknya kata maaf dada lapang terima semua",Belum Berkembang
Akan ada masa depan bagi semua yang bertahan,Berkembang Sedang
Duniaku pernah hancur rangkai lagi satu satu,Berkembang Sedang
"Terasa indah bila kita terbuai dalam alunan cinta, sedapat mungkin terciptakan rasa keinginan saling memiliki",Belum Berkembang
Namun bila itu semua dapat terwujud dalam satu ikatan cinta tak semudah seperti yang pernah terbayang menyatukan perasaan,Sudah Mahir
Tetaplah menjadi bintang dilangit agar cinta kita akan abadi biarlah sinarmu tetap menyinari alam ini agar menjadi saksi cinta kita berdua,Sudah Mahir
"Bagaikan sungai yang tak punya malu, mengalir meskipun terancam surut",Berkembang Sedang
"Lalu kakimu melangkah ke rumahku setengah melirik, mencoba rayu",Berkembang Sedang
"Gemar sekali kau lukiskan bintang untukku, sungguh lihai tanganmu menata kembali hati yang hampir mati dan akan kuletakkan hangat di tengah dekap kita",Sudah Mahir
Jangan biarkan aku pulang ke rumah yang bukan engkau,Berkembang Sedang
Membuatku terlena ke dalam pesona sukma yang begitu indah,Berkembang Sedang
"Hatiku sedih, hatiku gundah tak ingin pergi berpisah",Berkembang Sedang
Sahabat yang selalu ada dalam suka dan duka,Berkembang Sedang
Tempat yang nyaman kala kuterjaga dalam tidurku yang lelap,Berkembang Sedang
Pergilah sedih pergilah resah jauhkanlah aku dari salah prasangka,Berkembang Sedang
Lihat segalanya lebih dekat dan ku bisa menilai lebih bijaksana,Berkembang Sedang
"Mengapa bintang bersinar, mengapa air mengalir, mengapa dunia berputar",Berkembang Sedang
"Malam ini bintang bintang bersinar lebih terang, berbinar lebih benderang",Berkembang Sedang
"Mengajak memandang masa yang tak terulang, petualangan tak terbayang",Berkembang Sedang
Malam ini bintang bintang berkedip lebih riang dan lebih gemilang,Berkembang Sedang
Malam demi malam silih berganti namun bintang bintang terus menemani hiasi menanti dan menjadi saksi perjalanan kita yang sempat terhenti,Sudah Mahir
Ku berjanji wahai gugusan misteri kenangan indah ini akan abadi,Berkembang Sedang
"Walau hanya memandang walau masa tak terulang, petualangan dan perasaan selanjutnya datang",Berkembang Sedang
"Dulu ku punya sahabat dia sangat senang berdebat, dengarlah kawan lagaknya kayak jagoan",Belum Berkembang
"Dia anak yang berbakat tapi seringnya lupa akibat, karena tahukah kawan dia nggak suka aturan",Sudah Mahir
Namun berkat sang jagoan aku mengerti rela berkorban berawal dari lawan menjadi kawan lalu aku temukan persahabatan,Berkembang Sedang
Kita selalu bersama dari kecil sampai remaja telah lalui segala masa walau terasa belum lama,Belum Berkembang
"Bersaing menantang esok yang kan yang membentang, siapa sangka berjumpa lagi nostalgia bersama",Sudah Mahir
"Harusnya tidak pernah terpisah hanya kenangan tersisa, kemana engkau sobat lama",Berkembang Sedang
Matamu sayu bertemu mataku luluhkan hatiku,Belum Berkembang
Tanganmu itu serupa tanganku memanggil senyumku,Belum Berkembang
"Kelak kau akan jumpa teman-teman, ayun-mengayun di dahan ke dahan bersama ibu mulai petualangan jaga hutan raya Kalimantan",Belum Berkembang
Matahari bersinar terang seolah tersenyum senang walau panas menyengat aku tetap gembira,Belum Berkembang
Daun-daun bergerak riang seolah merasa senang semua ikut berdendang sambut hari yang datang,Sudah Mahir
"Selamat pagi, selamat bekerja bersiaplah nikmati hari jangan lengah saat melangkah jadilah yang terbaik",Sudah Mahir
"Jantung kota berdetak kencang seolah siap menantang, cepat berlari berkejaran raih peluang dan kesempatan",Berkembang Sedang
"Betapa bahagianya akan ku raih betapa senangnya, telah ku kejar sampai ujung dunia",Belum Berkembang
Setiap manusia pasti punya mimpi mulia tak mau hidup sia-sia ingin yang terbaik untuknya,Sudah Mahir
"Di atas langit masih ada lagi langit lebih tinggi, sesaat lagi akan datang hari kupeluk dunia",Belum Berkembang
Setiap manusia yang mencari bahagia mengarungi samudaria temukan yang selalu setia,Berkembang Sedang
"Betapa bahagianya bersama berdua, denganmu lagi bertualang kembali",Berkembang Sedang
Malu aku malu pada semut merah yang berbaris di dinding menatapku curiga seakan penuh tanya,Sudah Mahir
Sungguh aneh tapi nyata takkan terlupa kisah-kasih di sekolah dengan si dia,Belum Berkembang
